Adult Summary,Run Date: 02/12/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NASELLE HATCHERY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date Range: 01/01/2019 - 02/12/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Species: COHO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Run: NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Brood,Adults In,Jacks In,Male Plant,Female Plant,Jack Plant,Adult Ship,Male Ship,Female Ship,Jack Ship,Male Morts,Female Morts,Jack Morts,Male Surplus,Female Surplus,Jack Surplus,Lethal Male Spawn,Lethal Female Spawn,Lethal Jack Spawn,Lethal NVF Spawn,Live Male Spawn,Live Female Spawn,Live Jack Spawn,Live NVF Spawn,Egg Count,Adults On Hand,Jacks On Hand,Mark Info,Other Mark,Checked for Wire,Wire Present,Wire Collected,CWT Detected Males,CWT Detected Females,CWT Detected Jacks,CWT Collected Males,CWT Collected Females,CWT Collected Jacks,Bag Number
10/14/2019,CO:NA:NASE:2019:W,6,0,,,,,,,,,,,,,,,,,,,,,,,1710,10,,,N,N,N,,,,,,,
10/15/2019,CO:NA:NASE:2019:H,0,0,,,,,,,,8,14,1,60,44,0,,,,,,,,,,1584,9,AD,,Y,N,N,,,,,,,
10/15/2019,CO:NA:NASE:2019:W,0,0,5,1,0,,,,,,,,,,,,,,,,,,,,1578,9,UM,,Y,N,N,,,,,,,
10/22/2019,CO:NA:NASE:2019:H,3362,56,,,,,,,,,,,,,,,,,,,,,,,4940,65,,,N,N,N,,,,,,,
10/22/2019,CO:NA:NASE:2019:H,0,0,,,,,,,,2,3,0,1602,1332,65,,,,,,,,,,2001,0,AD,,Y,N,N,,,,,,,
10/22/2019,CO:NA:NASE:2019:H,0,0,,,,,,,,0,1,0,,,,,,,,,,,,,2000,0,AD,,Y,Y,Y,0,1,0,0,1,0,60515
10/22/2019,CO:NA:NASE:2019:W,94,1,,,,,,,,,,,,,,,,,,,,,,,2094,1,,,N,N,N,,,,,,,
10/22/2019,CO:NA:NASE:2019:W,0,0,69,22,1,,,,,3,0,0,,,,,,,,,,,,,2000,0,UM,,Y,N,N,,,,,,,
10/29/2019,CO:NA:NASE:2019:H,127,278,,,,,,,,,,,,,,,,,,,,,,,2127,278,,,N,N,N,,,,,,,
10/29/2019,CO:NA:NASE:2019:H,0,0,,,,,,,,39,51,29,43,0,209,570,619,40,5,,,,,,800,0,AD,,Y,N,N,,,,,,,
10/29/2019,CO:NA:NASE:2019:M,0,0,,,,,,,,,,,,,,,,,,,,,,1392600,800,0,,,N,N,N,,,,,,,
10/29/2019,CO:NA:NASE:2019:W,37,0,,,,,,,,,,,,,,,,,,,,,,,837,0,,,N,N,N,,,,,,,
10/29/2019,CO:NA:NASE:2019:W,0,0,,,,,,,,,,,,,,23,14,0,0,,,,,,800,0,UM,,Y,N,N,,,,,,,
11/05/2019,CO:NA:NASE:2019:H,342,141,,,,,,,,,,,,,,,,,,,,,,,1142,141,,,N,N,N,,,,,,,
